"word","sad"
"terrific",TRUE
"terrorism",TRUE
"terrorist",TRUE
"terrorize",TRUE
"theft",TRUE
"theocratic",TRUE
"thief",TRUE
"thirst",TRUE
"thrash",TRUE
"thresh",TRUE
"throb",TRUE
"timid",TRUE
"tolerate",TRUE
"tomb",TRUE
"torment",TRUE
"torture",TRUE
"touchy",TRUE
"tough",TRUE
"tragedy",TRUE
"traitor",TRUE
"tramp",TRUE
"trash",TRUE
"traumatic",TRUE
"travesty",TRUE
"treachery",TRUE
"treat",TRUE
"tremor",TRUE
"tribulation",TRUE
"trickery",TRUE
"tripping",TRUE
"tumour",TRUE
"turmoil",TRUE
"tyranny",TRUE
"tyrant",TRUE
"ugliness",TRUE
"ulcer",TRUE
"ultimate",TRUE
"unable",TRUE
"unacceptable",TRUE
"unaccountable",TRUE
"unacknowledged",TRUE
"unattainable",TRUE
"unattractive",TRUE
"unbearable",TRUE
"unbeaten",TRUE
"uncaring",TRUE
"underpaid",TRUE
"undertaker",TRUE
"undesirable",TRUE
"undesired",TRUE
"undying",TRUE
"uneasiness",TRUE
"uneducated",TRUE
"unemployed",TRUE
"unequal",TRUE
"unexplained",TRUE
"unfair",TRUE
"unfairness",TRUE
"unfavorable",TRUE
"unforgiving",TRUE
"unfortunate",TRUE
"unfriendly",TRUE
"unfulfilled",TRUE
"ungodly",TRUE
"unhappiness",TRUE
"unhappy",TRUE
"unhealthy",TRUE
"unimportant",TRUE
"uninspired",TRUE
"uninterested",TRUE
"uninteresting",TRUE
"uninvited",TRUE
"unkind",TRUE
"unlawful",TRUE
"unlucky",TRUE
"unpaid",TRUE
"unpleasant",TRUE
"unpopular",TRUE
"unpublished",TRUE
"unrequited",TRUE
"unrest",TRUE
"unsatisfied",TRUE
"unseat",TRUE
"unsuccessful",TRUE
"untitled",TRUE
"unwelcome",TRUE
"unwell",TRUE
"upheaval",TRUE
"upset",TRUE
"urn",TRUE
"vainly",TRUE
"vanished",TRUE
"varicella",TRUE
"veal",TRUE
"vegetative",TRUE
"vendetta",TRUE
"victim",TRUE
"victimized",TRUE
"violation",TRUE
"violence",TRUE
"violently",TRUE
"vote",TRUE
"vulgarity",TRUE
"vulnerability",TRUE
"waffle",TRUE
"wail",TRUE
"wallow",TRUE
"wan",TRUE
"wane",TRUE
"wanting",TRUE
"warfare",TRUE
"warp",TRUE
"wasteful",TRUE
